S NO,Consistency No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,191,PATEL ANTAR SINGH,Bahujan Samaj Party,3700,5,3705,1.97
2,191,CHOUHAN NAGAR SINGH,Bharatiya Janata Party,83311,453,83764,44.63
3,191,MUKESH PATEL,Indian National Congress,79022,1019,80041,42.65
4,191,Nawal Singh Mandloi,Independent,2691,15,2706,1.44
5,191,SURENDRA THAKRALA,Independent,11288,73,11361,6.05
6,191,HIRLA CHOUHAN,Independent,2268,7,2275,1.21
7,191,NOTA,None of the Above,3803,11,3814,2.03
8,223,DR. CHINTAMANI MALVIYA,Bharatiya Janata Party,106439,323,106762,57.44
9,223,MANOJ CHAWLA,Indian National Congress,33138,427,33565,18.06
10,223,GOVARDHAN PARMAR,Aazad Samaj Party (Kanshi Ram),3411,6,3417,1.84
11,223,PUSHPENDRA SURYWANSHI HATPIPLIYA,Peoples Party of India (Democratic),362,3,365,0.2
12,223,KISHOR MALVIYA,Independent,195,0,195,0.1
13,223,NAGULAL,Independent,348,2,350,0.19
14,223,PRAHALAD VERMA,Independent,467,0,467,0.25
15,223,PREMCHANDRA GUDDU,Independent,37763,115,37878,20.38
16,223,LAXMAN CHANDRAVANSHI,Independent,974,1,975,0.52
17,223,NOTA,None of the Above,1895,4,1899,1.02
18,66,CHHANGELAL KOL,Bahujan Samaj Party,21208,109,21317,11.51
19,66,Dr. RAJENDRA KUMAR SINGH,Indian National Congress,79907,1042,80949,43.72
20,66,RAMKHELAWAN PATEL,Bharatiya Janata Party,74017,442,74459,40.22
21,66,AKHILESH KUMAR PRAJAPATI,Peoples Party of India (Democratic),991,3,994,0.54
22,66,AJAY KUMAR KUSHWAHA,Jan Adhikar Party,207,1,208,0.11
23,66,Amit Tiwari (LALA Bhai),Bharatiya Jan Morcha Party,165,0,165,0.09
24,66,ASHISH KUSHWAHA,Bhartiya Shakti Chetna Party,200,0,200,0.11
25,66,BALKRISHNA YADAV,Samajwadi Party,289,0,289,0.16
26,66,Rameshvar Prasad Patel,Akhil Bhartiya Apna Dal,132,0,132,0.07
27,66,SHASHI SATYENDRA SHARMA,Vindhya Janta Party,301,4,305,0.16
28,66,GAURISHANKAR TRIVENI PRASAD TIWARI,Independent,290,0,290,0.16
29,66,BABA CHHOTE LAL NAT,Independent,207,0,207,0.11
30,66,Mo. Nasim,Independent,338,0,338,0.18
31,66,NEELAM-PUSHPENDRA PANDEY,Independent,1319,2,1321,0.71
32,66,Ramsufal Kewat,Independent,1065,0,1065,0.58
33,66,Er. Virendra Kumar Patel,Independent,998,0,998,0.54
34,66,SURAJ IS GOD,Independent,525,0,525,0.28
35,66,NOTA,None of the Above,1377,2,1379,0.74
36,123,KAMLESH PRATAP SHAH,Indian National Congress,108997,768,109765,48.35
37,123,MONIKA MANMOHAN SHAH BATTI,Bharatiya Janata Party,84407,272,84679,37.3
38,123,DEVIRAM BHALAVI,Gondvana Gantantra Party,18179,52,18231,8.03
39,123,ADVOCATE RAJKUMAR SARYAM,Janseva Gondwana Party,1177,4,1181,0.52
