DISTRICT,CONSTITUENCY_NO,CONSTITUENCY,MALE_PER,FEMALE_PER,TOTAL_PER
SHEOPUR,1, Sheopur,82.52,79.38,80.99
SHEOPUR,2, Vijaypur,81.49,81.15,81.33
MORENA,3, Sabalagadh,76.50,76.45,76.48
MORENA,4, Jaura,73.29,70.79,72.13
MORENA,5, Sumawali,74.20,69.82,72.22
MORENA,6, Morena,66.20,62.17,64.35
MORENA,7, Dimani,71.90,67.29,69.79
MORENA,8, Ambah,61.17,59.73,60.50
BHIND,9, Ater,64.50,63.90,64.22
BHIND,10, Bhind,58.92,58.15,58.56
BHIND,11, Lahar,67.69,66.70,67.24
BHIND,12, Mehgaon,66.84,62.72,64.97
BHIND,13, Gohad,63.68,58.96,61.52
GWALIOR,14, Gwalior Rural,76.00,72.85,74.54
GWALIOR,15, Gwalior,66.11,64.37,65.29
GWALIOR,16, Gwalior East,59.18,56.53,57.94
GWALIOR,17, Gwalior South,66.21,61.26,63.83
GWALIOR,18, Bhitarwar,76.88,72.86,75.00
GWALIOR,19, Dabra,74.81,69.67,72.37
DATIA,20, Sewda,74.72,70.75,72.87
DATIA,21, Bhander,76.11,69.54,73.02
DATIA,22, Datia,80.86,77.78,79.40
SHIVPURI,23, Karera,78.27,73.31,75.94
SHIVPURI,24, Pohari,80.82,76.84,78.96
SHIVPURI,25, Shivpuri,77.39,74.43,75.98
SHIVPURI,26, Pichhore,86.89,84.34,85.68
SHIVPURI,27, Kolaras,81.52,76.36,79.07
GUNA,28, Bamori,83.15,78.35,80.83
GUNA,29, Guna,74.49,69.68,72.15
GUNA,30, Chachoura,84.44,79.84,82.24
GUNA,31, Raghogarh,84.47,81.08,82.84
ASHOK NAGAR,32, Ashok nagar,81.70,75.06,78.51
ASHOK NAGAR,33, Chanderi,81.91,77.38,79.74
ASHOK NAGAR,34, Mungaoli,82.38,76.19,79.43
SAGAR,35, Bina,78.17,71.55,75.00
SAGAR,36, Khurai,82.48,76.52,79.64
SAGAR,37, Surkhi,78.47,73.25,76.05
SAGAR,38, Deori,81.36,76.44,79.02
SAGAR,39, Rehli,82.10,77.33,79.83
SAGAR,40, Naryoli,72.72,69.14,71.02
SAGAR,41, Sagar,69.02,64.42,66.77
SAGAR,42, Banda,79.19,76.30,77.84
TIKAMGARH,43, Tikamgarh,79.95,76.90,78.49
TIKAMGARH,44, Jatara,77.23,73.47,75.42
NIWARI,45, Prithvipur,85.09,81.81,83.53
NIWARI,46, Niwari,83.02,79.49,81.33
TIKAMGARH,47, Khargapur,76.98,73.42,75.29
CHHATARPUR,48, Maharajpur,73.84,71.23,72.60
CHHATARPUR,49, Chandla,68.38,67.12,67.80
CHHATARPUR,50, Rajnagar,73.88,71.28,72.67
CHHATARPUR,51, Chhatarpur,74.69,71.73,73.28
CHHATARPUR,52, Bijawar,73.86,70.56,72.32
CHHATARPUR,53, Malhara,75.04,71.57,73.42
DAMOH,54, Pathariya,80.10,76.33,78.30
DAMOH,55, Damoh,77.36,74.37,75.91
DAMOH,56, Jabera,81.48,79.72,80.63
DAMOH,57, Hatta,74.49,72.59,73.58
PANNA,58, Pawai,75.32,76.02,75.65
PANNA,59, Gunnaor,72.45,71.39,71.95
PANNA,60, Panna,74.28,75.44,74.83
SATNA,61, Chitrakoot,69.17,74.52,71.67
SATNA,62, Raigaon,70.52,71.15,70.82
SATNA,63, Satna,72.64,71.14,71.92
SATNA,64, Nagod,75.10,76.70,75.87
SATNA,65, Maihar,75.84,78.24,76.98
SATNA,66, Amarpatan,71.35,79.10,75.07
SATNA,67, Rampur,72.54,74.76,73.60
REWA,68, Sirmour,61.00,67.81,64.22
REWA,69, Semariya,68.25,73.75,70.88
REWA,70, Teonthar,65.37,72.31,68.66
REWA,71, Mauganj,63.92,72.27,67.91
REWA,72, Deotalab,59.81,66.91,63.20
REWA,73, Mangawan,59.40,65.64,62.36
REWA,74, Rewa,69.05,67.47,68.28
REWA,75, Gurh,68.47,73.02,70.64
SIDHI,76, Churhat,66.64,75.88,71.07
SIDHI,77, Sidhi,66.48,72.89,69.57
SIDHI,78, Sihawal,63.64,75.55,69.31
SINGRAULI,79, Chitrangi,70.53,73.25,71.84
SINGRAULI,80, Singrauli,74.32,71.47,72.97
SINGRAULI,81, Devsar,81.15,77.91,79.57
SIDHI,82, Dhauhani,70.08,77.40,73.64
SHAHADOL,83, Beohari,71.73,77.96,74.75
SHAHADOL,84, Jaisinghnagar,80.15,82.28,81.20
SHAHADOL,85, Jaitpur,80.80,81.11,80.95
ANUPPUR,86, Kotma,78.44,78.15,78.30
ANUPPUR,87, Anuppur,77.59,77.74,77.67
ANUPPUR,88, Pushprajgarh,80.11,80.21,80.16
UMARIYA,89, Bandhavgarh,79.26,79.12,79.19
UMARIYA,90, Manpur,76.10,78.13,77.09
KATNI,91, Barwara,78.06,77.80,77.93
KATNI,92, Vijayraghavgarh,77.36,79.15,78.22
KATNI,93, Murwara,72.46,68.97,70.74
KATNI,94, Bahoriband,81.70,80.97,81.34
JABALPUR,95, Patan,81.85,79.44,80.67
JABALPUR,96, Bargi,82.40,79.90,81.18
JABALPUR,97, Jabalpur Purba,71.41,67.20,69.33
JABALPUR,98, Jabalpur Uttar,74.88,69.42,72.18
JABALPUR,99, Jabalpur Cantt.,69.48,67.42,68.46
JABALPUR,100, Jabalpur Paschim,72.91,70.32,71.63
JABALPUR,101, Panagar,78.27,75.75,77.04
JABALPUR,102, Sihora,80.39,80.52,80.45
DINDORI,103, Shahpura,82.74,81.92,82.33
DINDORI,104, Dindori,83.98,82.81,83.39
MANDLA,105, Bichhiya,82.04,82.05,82.04
MANDLA,106, Niwas,81.97,82.22,82.10
MANDLA,107, Mandla,82.54,82.14,82.34
BALAGHAT,108, Baihar,84.51,85.79,85.16
BALAGHAT,109, Lanji,83.52,85.76,84.64
BALAGHAT,110, Paraswada,85.97,86.98,86.48
BALAGHAT,111, Balaghat,84.25,83.55,83.89
BALAGHAT,112, Waraseoni,85.64,85.25,85.44
BALAGHAT,113, Katangi,87.20,86.29,86.74
SEONI,114, Barghat,88.82,87.81,88.31
SEONI,115, Seoni,84.58,83.45,84.02
SEONI,116, Keolari,89.05,88.12,88.59
SEONI,117, Lakhnadon,85.13,84.27,84.71
NARSINGHPUR,118, Gotegaon,85.26,81.22,83.29
NARSINGHPUR,119, Narsingpur,84.69,81.45,83.11
NARSINGHPUR,120, Tendukheda,87.59,83.79,85.76
NARSINGHPUR,121, Gadarwara,85.03,81.43,83.30
CHHINDWARA,122, Junnardeo,86.46,85.18,85.83
CHHINDWARA,123, Amarwara,89.62,87.62,88.63
CHHINDWARA,124, Churai,88.95,86.77,87.88
CHHINDWARA,125, Saunsar,88.36,86.85,87.62
CHHINDWARA,126, Chhindwara,82.62,80.92,81.77
CHHINDWARA,127, Parasia,84.41,83.22,83.82
CHHINDWARA,128, Pandhurna,86.41,86.01,86.21
BETUL,129, Multai,81.19,80.41,80.81
BETUL,130, Amla,78.51,77.68,78.10
BETUL,131, Betul,82.37,81.51,81.94
BETUL,132, Ghoradongri,84.22,83.70,83.97
BETUL,133, Bhainsdehi,85.50,83.45,84.49
HARDA,134, Timarni,85.62,83.54,84.61
HARDA,135, Harda,84.05,81.22,82.68
NARMADAPURAM,136, Seoni,85.54,83.15,84.39
NARMADAPURAM,137, Hoshangabad,78.26,74.52,76.42
NARMADAPURAM,138, Sohagpur,88.18,85.20,86.77
NARMADAPURAM,139, Pipariya,86.32,82.36,84.40
RAISEN,140, Udaipura,84.19,78.98,81.69
RAISEN,141, Bhojpur,81.44,77.73,79.66
RAISEN,142, Sanchi,79.65,75.02,77.43
RAISEN,143, Silwani,84.50,79.89,82.31
VIDISHA,144, Vidisha,78.92,74.65,76.84
VIDISHA,145, Basoda,83.26,80.25,81.82
VIDISHA,146, Kurwai,81.70,73.99,78.02
VIDISHA,147, Sironj,82.92,77.37,80.29
VIDISHA,148, Shamshabad,84.06,76.59,80.49
BHOPAL,149, Berasia,81.36,76.27,78.91
BHOPAL,150, Bhopal Uttar,71.58,66.57,69.10
BHOPAL,151, Narela,66.14,64.79,65.48
BHOPAL,152, Bhopal Dakshin,58.61,59.66,59.11
BHOPAL,153, Bhopal Madhya,61.50,59.54,60.54
BHOPAL,154, Govindpura,63.05,63.02,63.03
BHOPAL,155, Huzur,71.85,69.36,70.64
SEHORE,156, Budhni,86.80,82.77,84.86
SEHORE,157, Ashta,86.51,81.68,84.18
SEHORE,158, Ichhawar,88.20,85.15,86.74
SEHORE,159, Sehore,84.29,79.09,81.74
RAJGARH,160, Narsinghgarh,85.94,80.62,83.31
RAJGARH,161, Biaora,86.52,82.02,84.33
RAJGARH,162, Rajgarh,85.78,80.49,83.20
RAJGARH,163, Khilchipur,89.31,84.03,86.74
RAJGARH,164, Sarangpur,86.87,81.70,84.34
