"District ","Consistency NO","Consistency","MALE 2018","FEMALE 2018","TOTAL 2018"
"SHEOPUR","1"," SHEOPUR","79.89%","77.85%","78.92%"
"SHEOPUR","2"," VIJAYPUR","77.64%","78.73%","78.15%"
"MORENA","3"," SABALAGADH","74.69%","75.49%","75.05%"
"MORENA","4"," JAURA","71.05%","71.73%","71.35%"
"MORENA","5"," SUMAOLI","72.91%","69.53%","71.41%"
"MORENA","6"," MORENA","63.71%","62.07%","62.98%"
"MORENA","7"," DIMANI","71.30%","68.70%","70.14%"
"MORENA","8"," AMBAH","61.45%","57.61%","59.70%"
"BHIND","9"," ATER","61.99%","62.67%","62.29%"
"BHIND","10"," BHIND","58.23%","58.98%","58.56%"
"BHIND","11"," LAHAR","63.53%","62.86%","63.23%"
"BHIND","12"," MEHGAON","65.19%","62.30%","63.90%"
"BHIND","13"," GOHAD","61.89%","56.16%","59.32%"
"GWALIOR","14"," GWALIOR RURAL","70.43%","67.20%","68.99%"
"GWALIOR","15"," GWALIOR","62.52%","62.62%","62.57%"
"GWALIOR","16"," GWALIOR EAST","57.15%","57.21%","57.17%"
"GWALIOR","17"," GWALIOR SOUTH","62.07%","57.29%","59.82%"
"GWALIOR","18"," BHITARWAR","72.95%","69.11%","71.19%"
"GWALIOR","19"," DABARA","71.05%","64.77%","68.12%"
"DATIA","20"," SEWDA","73.43%","69.01%","71.40%"
"DATIA","21"," BHANDER","71.63%","66.26%","69.14%"
"DATIA","22"," DATIA","77.15%","76.34%","76.77%"
"SHIVPURI","23"," KARERA","76.07%","70.04%","73.29%"
"SHIVPURI","24"," POHARI","76.60%","74.04%","75.42%"
"SHIVPURI","25"," SHIVPURI","71.46%","68.68%","70.16%"
"SHIVPURI","26"," PICHHORE","85.12%","84.34%","84.76%"
"SHIVPURI","27"," KOLARAS","78.68%","72.16%","75.64%"
"GUNA","28"," BAMORI","82.41%","75.81%","79.27%"
"GUNA","29"," GUNA","70.22%","66.96%","68.67%"
"GUNA","30"," CHACHODA","83.92%","76.52%","80.46%"
"GUNA","31"," RAGHOGARH","80.20%","72.71%","76.68%"
"ASHOK NAGAR","32"," ASHOK NAGAR","78.63%","68.92%","74.07%"
"ASHOK NAGAR","33"," CHANDERI","79.09%","72.03%","75.79%"
"ASHOK NAGAR","34"," MUNGAOLI","78.26%","70.78%","74.80%"
"SAGAR","35"," BINA","76.65%","69.06%","73.07%"
"SAGAR","36"," KHURAI","82.58%","79.75%","81.25%"
"SAGAR","37"," SURKHI","77.37%","73.21%","75.48%"
"SAGAR","38"," DEORI","77.77%","70.57%","74.39%"
"SAGAR","39"," REHLI","78.01%","74.04%","76.14%"
"SAGAR","40"," NARYAWALI","67.85%","64.72%","66.40%"
"SAGAR","41"," SAGAR","66.17%","62.74%","64.52%"
"SAGAR","42"," BANDA","76.84%","71.75%","74.48%"
"TIKAMGARH","43"," TIKAMGARH","75.54%","72.52%","74.11%"
"TIKAMGARH","44"," JATARA","73.90%","69.35%","71.76%"
"NIWARI","45"," PRITHVIPUR","80.59%","77.60%","79.19%"
"NIWARI","46"," NIWARI","76.80%","73.99%","75.47%"
"TIKAMGARH","47"," KHARGAPUR","74.84%","70.79%","72.94%"
"CHHATARPUR","48"," MAHARAJPUR","68.00%","65.90%","67.02%"
"CHHATARPUR","49"," CHANDLA","63.00%","61.62%","62.37%"
"CHHATARPUR","50"," RAJNAGAR","67.75%","65.26%","66.61%"
"CHHATARPUR","51"," CHHATARPUR","71.39%","70.70%","71.07%"
"CHHATARPUR","52"," BIJAWAR","71.45%","68.14%","69.93%"
"CHHATARPUR","53"," MALHARA","73.69%","69.09%","71.57%"
"DAMOH","54"," PATHARIYA ","78.16%","71.86%","75.17%"
"DAMOH","55"," DAMOH","75.74%","72.58%","74.22%"
"DAMOH","56"," JABERA","78.54%","74.96%","76.82%"
"DAMOH","57"," HATTA","72.43%","66.32%","69.51%"
"PANNA","58"," PAWAI","77.82%","77.05%","77.46%"
"PANNA","59"," GUNNOUR","72.88%","71.04%","72.01%"
"PANNA","60"," PANNA","72.93%","73.89%","73.38%"
"SATNA","61"," CHITRAKOOT","68.97%","74.35%","71.45%"
"SATNA","62"," RAIGAON","73.45%","74.74%","74.06%"
"SATNA","63"," SATNA","69.06%","69.24%","69.14%"
"SATNA","64"," NAGOD","76.83%","78.67%","77.70%"
"SATNA","65"," MAIHAR","76.46%","78.27%","77.32%"
"SATNA","66"," AMARPATAN","72.26%","79.20%","75.56%"
"SATNA","67"," RAMPUR BAGHELAN","73.41%","76.52%","74.88%"
"REWA","68"," SIRMOUR","61.64%","67.95%","64.57%"
"REWA","69"," SEMARIYA","67.21%","71.90%","69.41%"
"REWA","70"," TEONTHAR","65.28%","72.67%","68.70%"
"REWA","71"," MAUGANJ","63.18%","70.90%","66.79%"
"REWA","72"," DEOTALAB","59.41%","65.41%","62.23%"
"REWA","73"," MANGAWAN","58.01%","61.55%","59.67%"
"REWA","74"," REWA","66.22%","66.51%","66.35%"
"REWA","75"," GURH","69.43%","73.24%","71.23%"
"SIDHI","76"," CHURHAT","65.25%","72.86%","68.83%"
"SIDHI","77"," SIDHI","66.21%","69.58%","67.81%"
"SIDHI","78"," SIHAWAL","62.90%","69.52%","66.03%"
"SINGRAULI","82"," DHOUHANI","72.39%","75.21%","73.74%"
"SINGRAULI","79"," CHITRANGI","66.25%","66.51%","66.38%"
"SINGRAULI","80"," SINGAROULI","67.94%","66.28%","67.17%"
"SIDHI","81"," DEVSAR","78.08%","74.32%","76.26%"
"SHAHADOL","83"," BEOHARI","73.39%","77.20%","75.22%"
"SHAHADOL","84"," JAISINGHNAGAR","77.77%","78.18%","77.97%"
"SHAHADOL","85"," JAITPUR","78.09%","77.03%","77.57%"
"ANUPPUR","86"," KOTAMA","73.87%","72.03%","72.98%"
"ANUPPUR","87"," ANUPPUR","76.21%","75.36%","75.79%"
"ANUPPUR","88"," PUSPRAJGARH","80.01%","78.46%","79.24%"
"UMARIYA","89"," BANDHAVGARH","77.97%","77.25%","77.62%"
"UMARIYA","90"," MANAPUR","76.52%","77.11%","76.81%"
"KATNI","91"," BADWARA","75.10%","73.60%","74.37%"
"KATNI","92"," VIJAYRAGHAVGARH","75.65%","77.50%","76.54%"
"KATNI","93"," MUDWARA","70.16%","66.89%","68.57%"
"KATNI","94"," BAHORIBAND","81.52%","79.10%","80.34%"
"JABALPUR","95"," PATAN","80.79%","77.12%","79.03%"
"JABALPUR","96"," BARGI","80.69%","75.75%","78.32%"
"JABALPUR","97"," JABALPUR EAST","69.12%","65.85%","67.55%"
"JABALPUR","98"," JABALPUR NORTH","70.38%","65.38%","67.96%"
"JABALPUR","99"," JABALPUR CANTT","66.81%","65.05%","65.95%"
"JABALPUR","100"," JABALPUR WEST","66.74%","64.62%","65.71%"
"JABALPUR","101"," PANAGAR","76.05%","74.03%","75.08%"
"JABALPUR","102"," SIHORA","76.65%","75.25%","75.96%"
"DINDORI","103"," SHAHPURA","79.80%","78.33%","79.07%"
"DINDORI","104"," DINDORI","80.22%","78.82%","79.52%"
