Constituency,Constituency NO,Winning Candidate,Party,Total Votes,Margin,Round
Agar,166,MADHAV SINGH (MADHU GEHLOT),Bharatiya Janata Party,102176,13002,22
Alirajpur,191,CHOUHAN NAGAR SINGH,Bharatiya Janata Party,83764,3723,19
Alot,223,DR. CHINTAMANI MALVIYA,Bharatiya Janata Party,106762,68884,19
Amarpatan,66,Dr. RAJENDRA KUMAR SINGH,Indian National Congress,80949,6490,20
Amarwara,123,KAMLESH PRATAP SHAH,Indian National Congress,109765,25086,21
Ambah,8,DEVENDRA RAMNARAYAN SAKHWAR,Indian National Congress,80373,22627,21
Amla,130,Dr. Yogesh Pandagre,Bharatiya Janata Party,86726,12118,14
Anuppur,87,BISAHU LAL SINGH,Bharatiya Janata Party,77110,20419,16
Ashok Nagar ,32,HARIBABOO RAI,Indian National Congress,86180,8373,20
Ashta ,157,GOPAL SINGH ENGINEER,Bharatiya Janata Party,118750,7903,20
Ater ,9,HEMANT SATYADEV KATARE,Indian National Congress,69542,20228,14
Badnagar,218,JITENDRA UDAY SINGH PANDYA,Bharatiya Janata Party,80728,36693,17
Badnawar,202,"BHANWARSINGH SHEKHAWAT ""BABU JI""",Indian National Congress,93733,2976,18
Badwah,182,SACHIN BIRLA,Bharatiya Janata Party,90467,5499,18
Badwani,190,RAJAN MANDLOI,Indian National Congress,101197,11172,17
Bagali,174,MURLI BHAWARA,Bharatiya Janata Party,105320,7779,23
Bahoriband,94,PRANAY PRABHAT PANDEY (GUDDU BHAIYA),Bharatiya Janata Party,94817,23622,22
Baihar ,108,SANJAY UIKEY,Indian National Congress,90142,551,16
Balaghat ,111,ANUBHA MUNJARE,Indian National Congress,108770,29195,18
Bamori,28,RISHI AGRAWAL,Indian National Congress,93708,14796,20
Banda,42,VEERENDRA SINGH LODHI,Bharatiya Janata Party,90911,34751,21
Bandhavgarh,89,SHIVNARAYAN GYAN SINGH (LALLU BHAIYA),Bharatiya Janata Party,89954,23711,20
Barghat,114,KAMAL MARSKOLE,Bharatiya Janata Party,112074,17081,18
Bargi,96,NEERAJ SINGH LODHI,Bharatiya Janata Party,109506,39957,18
Barwara,91,DHIRENDRA BAHADUR SINGH DHIRU,Bharatiya Janata Party,112916,50993,22
Basoda,145,"HARISINGH RAGHUWANSHI ""BADDA""",Bharatiya Janata Party,98722,27667,19
Beohari,83,SHARAD JUGLAL KOL,Bharatiya Janata Party,102816,26482,25
Berasia,149,VISHNU KHATRI,Bharatiya Janata Party,107844,25397,17
Betul,131,HEMANT VIJAY KHANDELWAL,Bharatiya Janata Party,109183,15533,17
Bhagwanpura,186,KEDAR CHIDABHAI DAWAR,Indian National Congress,99043,12167,20
Bhainsdehi,133,MAHENDRA SINGH KESHAR SINGH CHOUHAN,Bharatiya Janata Party,97938,8230,18
Bhander,21,PHOOL SINGH BARAIYA,Indian National Congress,82043,29438,13
Bhikangaon,181,SMT JHUMA DR DHYANSINGH SOLANKI,Indian National Congress,92135,603,19
Bhind ,10,NARENDRA SINGH KUSHWAH,Bharatiya Janata Party,66420,14146,15
Bhitarwar,18,MOHAN SINGH RATHORE,Bharatiya Janata Party,97000,22354,13
Bhojpur,141,SURENDRA PATWA,Bharatiya Janata Party,119289,40779,18
Bhopal Dakshin-Paschim,152,BHAGWANDAS SABNANI,Bharatiya Janata Party,76689,15833,17
Bhopal Madhya,153,ARIF MASOOD,Indian National Congress,82371,15891,18
Bhopal Uttar,150,ATIF ARIF AQUEEL,Indian National Congress,96125,26987,16
Biaora,161,NARAYAN SiNGH PANWAR,Bharatiya Janata Party,117846,36211,21
Bichhiya ,105,NARAYAN SINGH PATTA,Indian National Congress,89222,11065,17
Bijawar,52,BABLU RAJESH SHUKLA,Bharatiya Janata Party,88223,32462,19
Bina,35,ADV. NIRMLA SAPRE,Indian National Congress,72458,6155,17
Budhni,156,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,164951,104974,22
Burhanpur,180,ARCHANA DIDI,Bharatiya Janata Party,100397,31171,21
Chachoura,30,PRIYANKA PENCHI,Bharatiya Janata Party,110254,61570,21
Chanderi,33,JAGANNATH SINGH RAGHUWANSHI,Bharatiya Janata Party,85064,21768,17
Chandla,49,AHIRWAR DILEEP,Bharatiya Janata Party,69668,15491,19
Chhatarpur,51,LALITA YADAV,Bharatiya Janata Party,77687,6967,19
Chhindwara,126,KAMAL NATH,Indian National Congress,132302,36594,22
Chitrakoot,61,SURENDRA SINGH GAHARWAR,Bharatiya Janata Party,58009,6670,19
Chitrangi,79,RADHA RAVINDRA SINGH,Bharatiya Janata Party,105410,59879,21
Churai,124,CHOUDHARY SUJEET MERSINGH,Indian National Congress,81613,8589,20
Churhat,76,AJAY ARJUN SINGH,Indian National Congress,97517,27777,21
Dabra,19,SURESH RAJE,Indian National Congress,84717,2267,19
Damoh ,55,JAYANT MALAIYA,Bharatiya Janata Party,112278,51351,21
Datia,22,BHARTI RAJENDRA,Indian National Congress,88977,7742,13
Deori,38,"BRIJBIHARI PATERIYA""GUDDA BHAIYA""",Bharatiya Janata Party,94932,27223,19
Deotalab,72,GIRISH GAUTAM,Bharatiya Janata Party,63722,24386,20
Depalpur ,203,MANOJ NIRBHAY SINGH PATEL,Bharatiya Janata Party,95577,13698,18
Devsar,81,RAJENDRA MESHRAM,Bharatiya Janata Party,88660,22454,21
Dewas,171,GAYATRI RAJE PUAR,Bharatiya Janata Party,117422,26956,21
Dhar ,201,Neena Vikram Verma,Bharatiya Janata Party,90371,9694,17
Dharampuri,200,KALUSINGH THAKUR,Bharatiya Janata Party,84207,356,19
Dhauhani,82,Kunwar Singh Tekam,Bharatiya Janata Party,82063,3321,19
Dimani ,7,NARENDRA SINGH TOMAR,Bharatiya Janata Party,79137,24461,19
Dindori,104,OMKAR SINGH MARKAM,Indian National Congress,93946,12265,26
Dr.Ambedkar Nagar -Mhow ,209,USHA BABU SINGH THAKUR,Bharatiya Janata Party,102989,34392,20
Gadarwara,121,UDAY PRATAP SINGH,Bharatiya Janata Party,111811,56529,17
Gandhwani,197,UMANG SINGHAR,Indian National Congress,98982,22119,20
Garoth ,227,CHANDAR SINGH SISODIYA,Bharatiya Janata Party,108602,18107,20
Ghatiya,215,SATISH MALVIYA,Bharatiya Janata Party,96236,17666,20
Ghoradongri,132,GANGA SAJJAN SINGH UIKEY,Bharatiya Janata Party,103710,4213,18
Gohad ,13,Keshav Desai,Indian National Congress,69941,607,20
Gotegaon,118,MAHENDRA NAGESH,Bharatiya Janata Party,91737,47788,19
Govindpura,154,KRISHNA GAUR,Bharatiya Janata Party,173159,106668,20
Guna ,29,PANNA LAL SHAKYA,Bharatiya Janata Party,114801,66454,19
Gunnaor,59,RAJESH KUMAR VERMA,Bharatiya Janata Party,77196,1160,20
Gurh,75,NAGENDRA SINGH,Bharatiya Janata Party,68715,2493,19
